symbol,qualified,years,avg_volume,rows,first_date,last_date,has_options,error
ORCL,True,9.3,7469899.375375375,2331,2016-09-30,2026-01-08,True,
OSCR,True,9.3,4106776.926829268,2296,2016-09-30,2026-01-08,True,
ONON,True,9.3,3762420.425925926,2160,2016-09-30,2026-01-08,True,
OMC,True,9.3,2707212.2895752895,2331,2016-09-30,2026-01-08,True,
ONTO,True,9.3,1862672.1244101245,2331,2016-09-30,2026-01-08,True,
